Run Type,Run Number,NumFrames,Time
Explore,4,145,29.0
Explore,5,469,93.8
Explore,7,122,24.4
Explore,10,207,41.4
Explore,11,359,71.8
Explore,12,231,46.2
Explore,20,586,117.2
Explore,22,649,129.8
Explore,24,174,34.8
Explore,30,281,56.2
Explore,31,197,39.4
Explore,33,553,110.6
Explore,34,75,15.0
Explore,37,577,115.4
Explore,39,203,40.6
bias,0,412,82.4
bias,1,405,81.0
bias,2,170,34.0
bias,0,771,154.2
bias,2,457,91.4
bias,3,102,20.4
bias,4,153,30.6
bias,5,545,109.0
bias,6,496,99.2
bias,7,462,92.4
bias,8,264,52.8
bias,9,189,37.8
bias,10,274,54.8
bias,11,647,129.4
bias,12,863,172.6
bias,14,308,61.6
bias,16,753,150.6
bias,17,395,79.0
bias,19,556,111.2
Unbias,0,373,74.6
Unbias,1,249,49.8
Unbias,2,303,60.6
Unbias,3,302,60.4
Unbias,4,388,77.6
Unbias,5,630,126.0
Unbias,6,208,41.6
Unbias,7,433,86.6
Unbias,8,667,133.4
Unbias,9,144,28.8
Unbias,10,987,197.4
Unbias,11,501,100.2
Unbias,12,395,79.0
Unbias,13,119,23.8
Unbias,14,1045,209.0
Unbias,15,931,186.2
Unbias,16,352,70.4
Unbias,17,288,57.6
Unbias,18,739,147.8
Unbias,19,316,63.2
