Run Type,Run Number,NumFrames,Time
Explore,4,145,29.0
Explore,5,469,93.8
Explore,7,122,24.4
Explore,10,207,41.4
Explore,11,359,71.8
Explore,12,231,46.2
Explore,20,586,117.2
Explore,22,649,129.8
Explore,24,174,34.8
Explore,30,281,56.2
Explore,31,197,39.4
Explore,33,553,110.6
Explore,34,75,15.0
Explore,37,577,115.4
Explore,39,203,40.6
Bias,0,412,82.4
Bias,1,405,81.0
Bias,2,170,34.0
Bias,0,771,154.2
Bias,2,457,91.4
Bias,3,102,20.4
Bias,4,153,30.6
Bias,5,545,109.0
Bias,6,496,99.2
Bias,7,462,92.4
Bias,8,264,52.8
Bias,9,189,37.8
Bias,10,274,54.8
Bias,11,647,129.4
Bias,12,863,172.6
Bias,14,308,61.6
Bias,16,753,150.6
Bias,17,395,79.0
Bias,19,556,111.2
Unbias,0,373,74.6
Unbias,1,249,49.8
Unbias,2,303,60.6
Unbias,3,302,60.4
Unbias,4,388,77.6
Unbias,5,630,126.0
Unbias,6,208,41.6
Unbias,7,433,86.6
Unbias,8,667,133.4
Unbias,9,144,28.8
Unbias,10,987,197.4
Unbias,11,501,100.2
Unbias,12,395,79.0
Unbias,13,119,23.8
Unbias,14,1045,209.0
Unbias,15,931,186.2
Unbias,16,352,70.4
Unbias,17,288,57.6
Unbias,18,739,147.8
Unbias,19,316,63.2
Metadynamics,0,28400,56.8
Metadynamics,0,41100,82.2
Metadynamics,2,18100,36.2
Metadynamics,3,6500,13.0
Metadynamics,4,55600,111.2
Metadynamics,5,55050,110.1
Metadynamics,6,10550,21.1
Metadynamics,7,22950,45.9
Metadynamics,8,59600,119.2
Metadynamics,9,38650,77.3
Metadynamics,10,21400,42.8
Metadynamics,11,7600,15.2
Metadynamics,12,23100,46.2
Metadynamics,13,9650,19.3
Metadynamics,14,18250,36.5
Metadynamics,15,16550,33.1
Metadynamics,16,30600,61.2
Metadynamics,17,33200,66.4
Metadynamics,18,21350,42.7
Metadynamics,19,7450,14.9
